economy,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,
AGO,,25.64972,,,
ARG,58.34431,57.8245,56.82104,,
ATG,,,90.90909,100.0,
BDI,,6.84932,6.84932,6.84932,
BEN,,,,,
BFA,,2.5759,,1.06789,1.10605
BGD,,,35.15158,36.24928,37.63996
BGR,,,,,
BHS,,,,,
BLZ,,,,,
BMU,,100.0,,,
BOL,,,,,
BRA,,,91.32993,,
BRB,,,,,
BTN,96.55172,,,95.16129,
BWA,,,,,
CAF,,,,,
CHL,,,,,
CIV,,,,,87.05502
CMR,,29.03094,,,
COD,0.0,,,,
COG,,,,,
COL,,82.53848,72.8639,,
COM,,,12.7451,,
CPV,,100.0,100.0,,
CRI,,50.70423,63.70757,60.55604,69.53191
CUW,,,,,
CYM,,,,100.0,
CZE,,,,,
DJI,,,,,
DMA,,93.33333,,,100.0
DOM,,,,,
DZA,,,,,
ECU,,76.41284,75.57663,76.94041,
EGY,,47.11024,,,
ERI,,,,,
EST,100.0,100.0,,,
ETH,,,,,
GAB,,,,,
GHA,,,,39.43275,
GIN,,0.0,,,
GMB,,,,,
GNB,,,,,
GNQ,,,,,
GRD,,,100.0,100.0,
GTM,,59.32127,,,
GUY,,,,,
HND,,,,,
HRV,,,,,
HTI,,,,,
HUN,95.0,95.0,,,
IND,,40.18797,46.78207,46.4688,52.36692
JAM,,100.0,100.0,,91.15282
KEN,,,,,
KNA,,100.0,,,
LBR,,,,,
LBY,,,,,
LCA,,,100.0,100.0,100.0
LKA,,,,28.73427,
LSO,,,,,
LTU,,,,,
LVA,,100.0,,,
MAR,,,90.70095,91.01382,89.30818
MDG,,,,9.23318,8.0222
MDV,,,100.0,98.4127,100.0
MEX,,50.75117,,,
MLI,,,,,
MOZ,,,,,
MRT,,,,,
MUS,98.8764,94.85714,93.75,91.06145,100.0
MWI,,,,,
NAM,,,,,
NER,,0.0,,,12.98246
NGA,,,,,
NIC,,,,,
NPL,,,,,
PAN,,,,,
PER,,71.48289,70.84554,74.22959,77.05764
POL,100.0,100.0,,,
PRI,,,,,
PRY,,27.7305,,,
ROU,,,,,
RWA,27.5882,33.23831,,57.13402,62.29649
SDN,,,,,
SEN,,,,,53.02734
SLE,,,5.23691,7.74527,7.0626
SLV,,,44.13191,64.3797,
SOM,,,,,
SSD,,,,,
STP,,,,,
SUR,,,,,
SVK,99.7,100.0,,,
SVN,100.0,100.0,,,
SWZ,,69.31034,,,
SXM,,,,,
SYC,,100.0,100.0,100.0,100.0
TCD,,,,,
TGO,,,,,
TTO,,,,,
TUN,,,95.68875,95.37815,
TZA,,,,,
UGA,,,,,
URY,100.0,100.0,100.0,100.0,
VCT,,100.0,100.0,96.2963,
VEN,,,,,
VIR,,,,,
ZAF,,,,,
ZMB,,23.03173,28.54311,,
ZWE,,,,,
